,last_name,first_name,pitcher,ff_avg_speed,si_avg_speed,fc_avg_speed,sl_avg_speed,ch_avg_speed,cu_avg_speed,fs_avg_speed,kn_avg_speed
388,Moll, Sam,594580,,93.3,,81.7,,,,
389,Cabrera, Génesis,650893,96.1,95.9,,87.4,90.2,79.3,,
390,Pineda, Michael,501381,89.9,,,80.7,85.3,,,
391,Mayza, Tim,641835,94.0,93.7,,88.6,,,,
392,Staumont, Josh,622251,96.1,97.1,,,,82.2,,
393,Duffey, Tyler,608648,92.3,92.4,,,79.1,82.7,,
394,Weaver, Luke,596133,94.9,94.7,88.1,84.6,86.9,80.1,,
395,Bañuelos, Manny,544365,93.7,93.4,,85.8,83.1,81.7,,
396,Matzek, Tyler,554431,94.1,,,83.2,,77.7,,
397,Pressly, Ryan,519151,94.5,,,89.7,89.1,81.0,,
398,Brogdon, Connor,641401,95.1,,88.3,,83.8,,,
399,Richards, Garrett,572070,94.4,95.7,,88.6,90.0,76.7,,
400,Abreu, Albert,656061,97.6,98.5,,88.6,88.0,,,
401,Ragans, Cole,666142,92.1,,88.5,,82.1,76.3,,
402,Karinchak, James,675916,95.2,,,,,82.9,,
403,Kelly, Joe,523260,97.1,97.9,,,87.1,88.1,,
404,Stammen, Craig,489334,91.0,91.4,87.8,81.5,86.9,79.6,,
405,Castillo, Max,666721,93.0,,,83.4,87.5,,,
406,Woodford, Jake,663765,92.4,91.8,,82.1,85.2,75.3,,
407,Peralta, Wily,503449,95.4,95.5,,83.6,,,82.6,
408,Gibaut, Ian,664139,95.8,,92.4,84.2,85.9,,,
409,Barnes, Matt,598264,95.0,,,,87.2,84.1,,
410,Howard, Spencer,675921,94.4,,84.8,,79.5,75.0,,
411,Quijada, José,650671,94.5,,,81.3,86.9,,,
412,Assad, Javier,665871,92.9,92.3,88.1,81.2,85.4,75.9,,
413,Cuas, Jose,621016,,93.1,,82.1,87.2,,,
414,Gutierrez, Vladimir,661269,92.8,,,82.2,82.9,78.4,,
415,Thompson, Ryan,657044,91.6,90.0,87.2,79.5,81.1,,,
416,Chapman, Aroldis,547973,97.5,100.2,,85.7,,,88.1,
417,Arano, Víctor,644364,94.5,93.9,,84.8,,,,
418,Graterol, Brusdar,660813,99.4,99.7,95.6,90.6,,,,
419,Blach, Ty,621389,,91.1,85.0,,80.7,79.2,,
420,Moran, Jovani,663558,93.4,,,81.2,83.3,,,
421,Thornton, Trent,663423,93.8,92.9,,82.2,,79.7,,
422,Danish, Tyler,641501,91.2,90.9,,87.1,84.4,80.9,,
423,Sánchez, Cristopher,650911,,93.0,,84.8,84.4,,,
424,Fleming, Josh,676596,91.3,91.2,84.3,,82.2,79.5,,
425,Flaherty, Jack,656427,93.3,91.0,88.2,83.8,86.2,77.2,,
426,Harvey, Hunter,640451,98.3,96.7,,86.7,,82.8,89.4,
427,Swarmer, Matt,664161,90.5,,,82.1,85.7,,,
428,Warren, Art,605521,93.5,,,85.5,,,,
429,Koenig, Jared,657649,89.4,89.2,82.9,,82.8,77.6,,
430,Liberatore, Matthew,669461,93.7,92.8,,86.0,85.9,74.3,,
431,Moronta, Reyes,606625,95.3,,,82.1,89.0,,,
432,Peters, Dillon,596071,92.9,92.5,,84.7,84.8,77.3,,
433,Brazoban, Huascar,623211,97.3,96.7,87.7,,89.0,,,
434,McGee, Jake,459429,94.4,,,85.2,,,,
435,Ramirez, Yohan,670990,93.8,95.7,,82.7,,,,
436,Sulser, Cole,642121,91.9,,,84.0,83.2,77.8,,
437,Moreta, Dauri,664294,95.9,96.0,,85.7,87.8,,,
438,Jefferies, Daulton,641726,92.4,92.5,89.6,,86.1,80.2,,
439,Strzelecki, Peter,657265,93.5,,,82.9,83.3,,,
440,Sands, Cole,663485,91.6,,84.3,,85.4,78.6,84.9,
441,Price, David,456034,92.1,92.4,87.9,,83.9,78.4,,
442,Nelson, Kyle,669459,91.9,,,84.3,,77.0,,
443,Martinez, Seth,661527,91.9,90.9,86.1,79.6,86.5,,,
444,Waldichuk, Ken,686610,94.1,,,81.0,82.4,75.2,,
445,Lamet, Dinelson,659275,95.4,95.8,,86.3,,,,
446,Snider, Collin,676092,94.1,96.0,,86.3,89.5,,,
447,Ferguson, Caleb,657571,94.8,,,,,78.3,,
448,Baumann, Mike,657508,95.8,,,91.5,88.7,84.0,,
449,Castano, Daniel,641447,92.0,89.4,86.5,81.2,84.0,,,
450,Thompson, Zack,668868,94.8,,88.1,,87.7,75.0,,
451,McCarty, Kirk,668948,92.5,90.9,88.5,82.7,84.7,77.1,,
452,Ortega, Oliver,661383,95.9,96.6,94.0,,,82.3,,
453,Gilbert, Tyler,656457,89.5,89.7,86.2,,,76.2,81.7,
454,Naughton, Packy,676050,92.8,92.6,,80.9,84.4,,,
455,Miley, Wade,489119,89.1,88.3,85.1,78.6,81.4,73.5,,
456,Wentz, Joey,666214,92.4,,83.4,,84.1,75.4,,
457,Barlow, Joe,669618,94.6,94.7,,87.3,,81.3,,
458,Newcomb, Sean,656794,94.3,94.2,88.3,,86.7,78.8,,
459,Banda, Anthony,607455,95.2,93.0,,84.7,86.6,81.1,,
460,Head, Louis,545343,93.6,,,82.5,88.6,,,
461,Dunn, Justin,643290,92.1,,,83.5,87.9,79.8,,
462,Morejon, Adrian,670970,96.9,,,87.6,84.3,80.1,,
463,Jiménez, Dany,666204,93.9,,92.8,81.9,,,,
464,Pop, Zach,647315,,96.5,,85.0,89.3,,,
465,Rodriguez, Elvin,660730,93.1,93.1,,82.9,86.6,78.5,,
466,Ort, Kaleb,672391,96.3,95.7,,86.0,89.8,,,
467,Rainey, Tanner,663432,97.0,,,88.4,89.1,,,
468,Castro, Miguel,612434,,97.9,,85.8,92.4,,,
469,Garza Jr., Ralph,621248,91.2,87.8,89.4,77.5,83.1,80.0,,
470,Hernández, Jonathan,642546,96.4,98.0,,87.3,90.1,,,
471,Mills, Wyatt,670090,91.8,91.3,,80.8,,,,
472,Silseth, Chase,681217,95.4,94.3,,83.7,,78.9,86.3,
473,Wesneski, Hayden,669713,93.1,92.0,88.7,81.2,87.0,,,
474,Anderson, Chase,502624,91.9,92.5,90.2,83.6,82.9,77.8,,
475,Wendelken, J.B.,605525,95.0,94.4,,85.9,85.5,80.4,,
476,McFarland, T.J.,519008,,88.8,,79.5,81.8,,,
477,Wittgren, Nick,621295,91.4,91.0,88.1,82.0,84.0,,,
478,Ginkel, Kevin,656464,96.4,,,85.4,84.2,,,
479,Shreve, Chasen,592741,90.6,,,80.9,,,82.9,
480,May, Dustin,669160,98.1,97.3,92.7,,88.6,85.5,,
481,Hjelle, Sean,663546,91.7,93.8,,,88.4,85.7,,
482,Grove, Michael,675627,94.4,,,85.0,,79.1,,
483,Detwiler, Ross,446321,92.4,91.8,86.0,,86.8,77.0,,
484,Yajure, Miguel,664337,92.9,92.9,90.2,81.4,89.2,81.9,,
485,Overton, Connor,656818,91.0,90.8,,81.9,84.9,79.5,,
486,Gustave, Jandel,594311,96.1,95.9,,86.2,,,,
487,Almonte, Yency,622075,95.9,95.8,,84.0,89.6,,,
488,Misiewicz, Anthony,664948,93.4,,88.9,83.6,,79.2,,
489,May, Trevor,543507,96.1,96.3,,84.8,87.3,,87.2,
490,Uelmen, Erich,657272,93.7,93.3,,83.0,87.2,,,
491,Kelley, Trevor,665001,,89.9,,83.6,80.7,78.6,,
492,Bummer, Aaron,607481,,94.5,86.2,82.0,89.0,,,
493,Stout, Eric,657770,92.1,,,80.1,87.4,77.8,,
494,Smith, Joe,501925,86.0,83.6,,76.9,,,,
495,De Los Santos, Yerry,660787,95.0,95.3,,83.9,,,,
496,Poteet, Cody,547001,94.9,94.0,,85.7,87.7,78.0,,
497,Vespi, Nick,663989,88.5,,,83.6,,80.5,,
498,Young, Alex,622065,91.6,90.7,84.4,,86.2,82.5,,
499,Baz, Shane,669358,96.0,,,87.7,88.5,82.3,,
500,Poppen, Sean,664092,,94.6,,83.5,85.3,,,
501,Faucher, Calvin,676534,,95.3,,88.0,,85.3,,
502,Holderman, Colin,670059,96.5,96.0,89.9,86.1,86.4,,,
503,Toussaint, Touki,657053,93.1,91.9,,,,75.6,86.6,
504,Cisnero, José,542585,95.5,95.1,,85.4,89.6,,,
505,Martin, Corbin,656686,94.0,,,88.9,87.8,84.1,,
506,Robles, Hansel,570663,96.0,95.9,,88.7,90.2,,,
507,VerHagen, Drew,572403,94.9,94.7,91.3,81.4,89.5,78.2,,
508,Brigham, Jeff,656257,94.5,,,82.2,,,,
509,Sborz, Josh,622250,97.0,,,87.7,,85.4,,
510,Rogers, Josh,642028,90.4,89.9,,80.8,84.7,,,
511,Merryweather, Julian,657240,97.3,,,87.7,81.6,80.3,,
512,Borucki, Ryan,621366,,95.1,,87.7,84.6,,,
513,Medina, Adonis,658431,93.1,93.5,,86.4,87.1,80.4,,
514,Varland, Louie,686973,93.8,,89.0,83.3,83.8,,,
515,Santillan, Tony,663574,96.2,,,86.5,,,,
516,Hudson, Daniel,543339,97.0,96.3,,88.8,88.4,,,
517,Morris, Cody,663752,94.6,,88.2,,81.9,79.6,,
518,Hembree, Heath,592390,94.2,,,84.2,,79.5,,
519,Ryu, Hyun Jin,547943,89.3,,86.0,,79.6,71.9,,
520,Cano, Yennier,666974,95.7,95.3,,87.5,90.2,,,
521,Arihara, Kohei,685503,92.0,90.5,88.0,81.7,81.2,74.5,82.7,
522,Gose, Anthony,543238,97.0,,,86.1,88.0,,,
523,Patiño, Luis,672715,94.6,93.7,,84.3,85.4,,,
524,O'Day, Darren,503285,86.0,85.9,,78.2,,,,
525,Nogosek, Stephen,668665,95.0,,89.1,81.5,87.4,76.0,,
526,Kinley, Tyler,641755,95.4,92.9,,89.5,88.8,,,
527,González, Chi Chi,592346,92.6,92.1,,84.3,85.5,80.7,,
528,Goudeau, Ashton,623485,92.4,,,,84.8,77.5,,
529,Espinoza, Anderson,659262,93.8,,,80.7,84.0,,,
530,Nardi, Andrew,677053,94.3,,,83.9,89.0,,,
531,Seabold, Connor,657756,92.1,,,85.6,80.4,78.7,,
532,Norwood, James,656803,96.6,96.3,,88.4,,,90.7,
533,Jameson, Drey,686753,95.9,94.4,,84.7,86.3,76.7,,
534,Thompson, Mason,666168,95.5,95.8,,84.4,88.2,,,
535,Paddack, Chris,663978,93.0,,,83.5,82.5,76.0,,
536,Ruiz, Norge,650204,93.1,,,86.7,85.4,,,
537,Sousa, Bennett,656986,94.0,,,87.3,,,,
538,Tetreault, Jackson,676194,94.6,,86.6,,85.9,82.2,,
539,Tapia, Domingo,593619,97.9,97.4,,88.0,88.9,,,
540,Thornburg, Tyler,592804,93.5,,,83.4,84.7,76.1,,
541,Barnes, Jacob,606930,95.2,,89.0,84.3,,,,
542,Sulser, Beau,676641,92.8,,88.1,,83.7,80.3,,
543,Frías, Luis,666818,96.9,,,85.4,89.7,,,
544,Law, Derek,571882,95.1,94.8,90.7,85.8,87.9,77.1,,
545,Fairbanks, Pete,664126,99.0,95.8,,85.8,,,,
546,Tinoco, Jesus,622786,96.1,96.0,,88.2,90.2,84.9,,
547,Hunter, Tommy,488984,93.8,93.2,91.3,,,84.5,,
548,Cleavinger, Garrett,664076,96.0,95.1,,82.7,,76.8,,
549,Feyereisen, J.P.,656420,92.2,,,84.0,87.1,,,
550,Bruihl, Justin,677865,,88.7,86.4,77.5,,,,
551,Smith, Chad,663385,,95.6,,85.2,90.3,,,
552,Romo, Sergio,489265,85.1,85.3,,77.0,79.9,,,
553,Chargois, JT,608638,95.3,96.5,,87.3,,,,
554,Fernández, Junior,658551,98.8,98.7,,88.9,90.9,,,
555,Bolaños, Ronald,671790,93.0,93.1,,84.1,87.1,77.0,,
556,Guerra, Javy,642770,98.3,97.2,,88.3,,,,
557,Widener, Taylor,642203,94.0,,87.7,85.0,84.8,80.1,,
558,DeSclafani, Anthony,543101,92.6,92.2,,87.4,86.0,80.9,,
559,Kolarek, Adam,592473,89.4,88.1,,77.2,81.7,,,
560,Garcia, Bryan,650530,,92.9,,85.6,85.5,,,
561,Kowar, Jackson,663804,95.8,,,82.9,85.7,,,
562,Brown, Hunter,686613,96.6,95.3,,93.2,,83.3,89.2,
563,Peguero, Elvis,665625,,96.4,,91.0,,,,
564,Reed, Jake,596082,90.9,91.7,,81.8,82.2,,,
565,Llovera, Mauricio,661440,95.6,95.4,,83.7,,,,
566,Bradley, Archie,605151,93.7,93.2,,,85.6,79.7,,
567,Taylor, Blake,642130,92.6,,,84.4,,,,
568,Mills, Alec,621219,88.6,88.5,,76.1,78.9,65.8,,
569,Allard, Kolby,663465,91.1,,84.9,,82.8,74.2,,
570,Lemoine, Jacob,621082,92.9,93.1,,83.9,85.9,,,
571,Speier, Gabe,642100,93.6,93.7,,81.9,87.3,,,
572,Lawrence, Casey,596271,90.9,90.0,85.7,81.3,83.2,78.6,,
573,Selman, Sam,572125,89.3,90.4,,79.3,,,,
574,Uceta, Edwin,670955,91.9,93.5,,86.9,88.3,81.0,,
575,Yacabonis, Jimmy,642231,,93.7,,81.6,87.7,,,
576,Szapucki, Thomas,663378,95.2,,,,87.0,80.0,,
577,Valdez, Phillips,570488,,94.1,,84.0,86.9,,,
578,Steckenrider, Drew,608716,94.1,,,85.1,87.0,81.2,,
579,Farrell, Luke,608652,91.1,,,82.5,85.0,78.6,,
580,Perdomo, Luis,606131,,93.8,,85.2,,,87.5,
581,Dugger, Robert,667498,89.4,89.9,,77.6,81.3,72.6,,
582,Johnson, Pierce,572955,94.8,,,,,84.3,,
583,Crick, Kyle,605195,92.2,92.1,,79.7,,,,
584,Grimm, Justin,518748,92.6,,,81.7,,82.0,,
585,Ortiz, Luis,682847,98.4,,,87.7,90.9,,,
586,Bender, Anthony,669622,98.3,97.6,,84.9,90.7,,,
587,Alvarez, Jose,501625,91.4,90.8,,80.3,81.5,,,
588,Whitley, Kodi,676831,93.4,,,82.8,83.5,,,
589,Romero, JoJo,668941,95.5,95.2,90.0,84.0,86.5,,,
590,Beasley, Jeremy,676886,95.4,,,82.1,,,87.3,
591,Hall, DL,669084,96.2,,,87.4,85.0,80.7,,
592,Hoeing, Bryan,663773,,93.1,,83.3,87.3,80.3,,
593,Cousins, Jake,664776,,95.7,,82.9,89.5,,,
594,Warren, Austin,681810,93.6,93.5,,86.2,89.1,,,
595,Marte, Jose,665896,96.5,96.0,89.4,88.1,89.6,,,
596,Gillaspie, Logan,670810,95.2,,,82.1,86.3,81.7,,
597,Castro, Anthony,621593,94.8,95.5,,84.4,87.3,,,
598,Cruz, Fernando,518585,94.4,93.4,,86.7,,,81.7,
599,Scott, Tayler,605463,94.1,93.5,,83.9,89.2,,,
600,Nelson, Ryne,669194,94.8,,,82.5,81.8,76.9,,
601,Zeuch, T.J.,643615,91.8,91.9,86.3,80.8,85.6,,,
602,Knehr, Reiss,663753,93.6,92.8,89.0,82.8,89.0,79.2,,
603,Green, Chad,643338,94.6,94.0,,,88.5,84.5,,
604,Devenski, Chris,606965,94.3,,,81.8,83.1,75.8,,
605,Middleton, Keynan,641871,95.1,,,84.6,87.2,,,
606,Bard, Luke,572703,94.0,,89.9,86.2,85.8,78.1,,
607,Castro, Kervin,665645,92.7,,84.9,,,79.4,,
608,Milone, Tommy,543548,86.6,,,78.8,79.1,76.0,,
609,Diaz, Jhonathan,646242,91.4,88.7,,80.6,80.7,74.7,,
610,Bazardo, Eduard,660825,94.0,93.9,,82.1,89.7,,,
611,Coonrod, Sam,656322,97.0,96.4,,92.9,89.6,85.4,,
612,Kilian, Caleb,668873,94.6,93.4,89.4,84.2,,76.8,,
613,Kittredge, Andrew,552640,93.7,95.2,,89.1,,,,
614,Muller, Kyle,666205,94.2,,,86.9,88.1,80.9,,
615,Fry, Paul,643316,91.6,,,84.1,91.3,,,
616,Coulombe, Danny,543056,91.3,90.5,,82.8,76.1,79.3,,
617,Miller, Tyson,668338,90.8,91.9,,81.4,86.3,77.2,,
618,Stashak, Cody,664054,90.6,,,82.0,84.3,,,
619,Bielak, Brandon,656232,93.4,93.2,,82.8,87.3,79.8,,
620,Cyr, Tyler,664202,94.4,,90.1,,86.4,,,
621,Kelly, Zack,677161,94.6,94.1,,85.7,82.0,,,
622,Sanders, Phoenix,676637,89.3,,,82.0,,75.3,,
623,Alexander, Scott,518397,,92.2,,83.9,86.6,,,
624,Sánchez, Miguel,667376,94.2,,,82.5,89.0,,,
625,Weiss, Zack,592848,94.6,93.7,92.8,86.6,,,,
626,Vieaux, Cam,664944,93.1,,,78.3,87.0,,,
627,Lakins Sr., Travis,664042,93.9,93.1,91.5,82.7,88.5,80.3,,
628,Gsellman, Robert,607229,94.4,92.6,,89.6,85.1,80.7,,
629,Perez, Francisco,660906,93.2,,,83.2,84.6,76.2,,
630,Rodríguez, Manuel,655889,95.1,95.9,,87.2,83.8,,,
